k phase agent tumor mono firstline
1                          2                          cemiplimab                 other                      monotherapy                mult                      
2                          2                          durvalumab                 other                      combination                1                         
3                          1/2                        durvalumab                 breast                     combination                ≥2                        
4                          1/2                        durvalumab                 other                      combination-or-monotherapy mult                      
5                          1                          durvalumab                 breast                     combination                ≥2                        
6                          1                          durvalumab                 other                      combination                ≥2                        
7                          1/2                        durvalumab                 NSCLC                      monotherapy                mult                      
8                          2                          durvalumab                 other                      combination                ≥2                        
9                          1                          avelumab                   other                      monotherapy                mult                      
10                         2                          avelumab                   other                      monotherapy                ≥2                        
11                         2                          avelumab                   other                      monotherapy                ≥2                        
12                         1                          avelumab                   other                      monotherapy                mult                      
13                         2                          ipilimumab                 melanoma                   monotherapy                mult                      
14                         2                          ipilimumab                 other                      combination                mult                      
15                         2                          nivolumab                  melanoma                   monotherapy                ≥2                        
16                         1                          nivolumab                  NSCLC                      monotherapy                mult                      
17                         2                          nivolumab                  other                      monotherapy                ≥2                        
18                         2                          nivolumab                  NSCLC                      monotherapy                ≥2                        
19                         2                          nivolumab                  melanoma                   monotherapy                mult                      
20                         2                          nivolumab                  other                      monotherapy                ≥2                        
21                         2                          nivolumab                  other                      monotherapy                ≥2                        
22                         2                          nivolumab                  other                      monotherapy                ≥2                        
23                         1                          pembrolizumab-or-nivolumab other                      combination                mult                      
24                         2                          ipilimumab/nivolumab       other                      combination                ≥2                        
25                         1/2                        nivolumab                  other                      monotherapy                mult                      
26                         1                          nivolumab                  other                      combination                ≥2                        
27                         2                          nivolumab                  other                      monotherapy                ≥2                        
28                         2                          nivolumab                  other                      monotherapy                mult                      
29                         2                          nivolumab                  other                      monotherapy                mult                      
30                         2                          nivolumab                  other                      monotherapy                ≥2                        
31                         2                          nivolumab                  NSCLC                      monotherapy                ≥2                        
32                         1                          nivolumab                  other                      combination-or-monotherapy ≥2                        
33                         1/2                        nivolumab                  other                      monotherapy                ≥2                        
34                         2                          nivolumab                  melanoma                   combination                mult                      
35                         2                          pembrolizumab              other                      monotherapy                ≥2                        
36                         1/2                        nivolumab                  other                      monotherapy                ≥2                        
37                         1/2                        pembrolizumab              other                      combination                ≥2                        
38                         2                          pembrolizumab              other                      combination                mult                      
39                         2                          pembrolizumab              other                      monotherapy                mult                      
40                         2                          pembrolizumab              other                      combination-or-monotherapy ≥2                        
41                         2                          pembrolizumab              other                      combination                1                         
42                         2                          pembrolizumab              NSCLC                      monotherapy                mult                      
43                         2                          pembrolizumab              NSCLC                      monotherapy                mult                      
44                         2                          pembrolizumab              other                      combination                1                         
45                         1/2                        pembrolizumab              other                      combination                ≥2                        
46                         2                          pembrolizumab              breast                     combination                mult                      
47                         2                          pembrolizumab              other                      monotherapy                ≥2                        
48                         2                          pembrolizumab              other                      combination                mult                      
49                         2                          pembrolizumab              other                      monotherapy                ≥2                        
50                         2                          pembrolizumab              breast                     combination                mult                      
51                         2                          pembrolizumab              other                      monotherapy                ≥2                        
52                         1                          pembrolizumab              other                      combination                ≥2                        
53                         2                          pembrolizumab              other                      monotherapy                mult                      
54                         2                          pembrolizumab              other                      monotherapy                mult                      
55                         2                          pembrolizumab              other                      monotherapy                ≥2                        
56                         2                          pembrolizumab              other                      combination                ≥2                        
57                         2                          pembrolizumab              other                      combination                ≥2                        
58                         1                          pembrolizumab              NSCLC                      combination                ≥2                        
59                         1                          pembrolizumab              other                      combination                ≥2                        
60                         2                          pembrolizumab              other                      monotherapy                ≥2                        
61                         1                          pembrolizumab              NSCLC                      monotherapy                mult                      
62                         2                          nivolumab                  melanoma                   monotherapy                ≥2                        
63                         2                          pembrolizumab              other                      monotherapy                ≥2                        
64                         2                          pembrolizumab              other                      monotherapy                ≥2                        
65                         2                          pembrolizumab              other                      combination-or-monotherapy 1                         
66                         2                          pembrolizumab              breast                     combination                ≥2                        
67                         1                          ipilimumab                 NSCLC                      combination                mult                      
68                         2                          atezolizumab               breast                     combination                mult                      
69                         1                          atezolizumab               other                      combination-or-monotherapy 1                         
70                         1/2                        atezolizumab               other                      monotherapy                ≥2                        
71                         2                          atezolizumab               other                      combination                mult                      
72                         2                          atezolizumab               NSCLC                      monotherapy                ≥2                        
73                         1                          atezolizumab               melanoma                   monotherapy                mult                      
74                         1                          atezolizumab               other                      monotherapy                mult                      
75                         1                          atezolizumab               other                      combination                mult                      
76                         1                          cemiplimab                 other                      monotherapy                mult                      
77                         2                          pembrolizumab              other                      monotherapy                ≥2                        
78                         2                          durvalumab                 NSCLC                      monotherapy                ≥2                        
79                         1                          ipilimumab                 melanoma                   combination                mult                      
80                         1                          ipilimumab/nivolumab       melanoma                   combination                mult                      
81                         2                          pembrolizumab              other                      monotherapy                ≥2                        
82                         1                          pembrolizumab              other                      monotherapy                mult                      
83                         2                          pembrolizumab              other                      monotherapy                ≥2                        
84                         2                          ipilimumab                 melanoma                   combination                mult                      
85                         1                          nivolumab                  NSCLC                      combination                ≥2                        
86                         2                          nivolumab                  other                      monotherapy                ≥2                        
87                         1                          pembrolizumab              other                      combination                1                         
88                         1                          avelumab                   other                      combination                1                         
89                         1/2                        ipilimumab                 melanoma                   combination-or-monotherapy mult                      
90                         2                          atezolizumab               other                      combination-or-monotherapy mult                      
91                         2                          ipilimumab                 melanoma                   monotherapy                mult                      
92                         2                          ipilimumab                 other                      combination                1                         
93                         1                          pembrolizumab              other                      combination                ≥2                        
94                         1                          pembrolizumab              melanoma                   monotherapy                mult                      
95                         2                          pembrolizumab              other                      monotherapy                ≥2                        
96                         2                          pembrolizumab              NSCLC                      monotherapy                mult                      
97                         1                          pembrolizumab              other                      monotherapy                ≥2                        
98                         2                          pembrolizumab              other                      combination                mult                      
99                         1/2                        pembrolizumab              other                      combination                mult                      
100                        1                          pembrolizumab              other                      combination                ≥2                        
101                        1                          pembrolizumab              breast                     monotherapy                ≥2                        
102                        1                          pembrolizumab              other                      monotherapy                mult                      
103                        1                          pembrolizumab              other                      combination                mult                      
104                        1                          atezolizumab               other                      monotherapy                mult                      
105                        2                          ipilimumab/nivolumab       melanoma                   combination-or-monotherapy mult                      
106                        2                          ipilimumab/nivolumab       other                      combination-or-monotherapy ≥2                        
107                        2                          nivolumab                  other                      monotherapy                ≥2                        
108                        1                          nivolumab                  NSCLC                      combination                mult                      
109                        1/2                        nivolumab                  NSCLC                      combination                1                         
110                        2                          nivolumab                  NSCLC                      monotherapy                mult                      
111                        1                          atezolizumab               melanoma                   combination                mult                      
112                        1                          nivolumab                  other                      combination                mult                      
113                        2                          nivolumab                  melanoma                   monotherapy                1                         
114                        2                          pembrolizumab              NSCLC                      combination                ≥2                        
115                        1                          atezolizumab               other                      monotherapy                ≥2                        
