k n+ n- median lo hi median lo hi
7     147   109   16.4  13    20.2  7.6   5.7   10   
37    71    21    13.9  10.55 20.47 5.62  2.99  11.53
58    7     16    10.6  6.7   99.9  7.4   3.3   99.9 
59    22    17    12.6  4.7   20.3  5.2   1.3   8.6  
66    NA    NA    29.5  0     0     15.23 0     0    
73    5     34    99.9  12    99.9  7     3     29   
73    20    19    99.9  10    99.9  9     3     29   
73    12    11    99.9  0     0     7     0     0    
95    10    27    99.9  99.9  99.9  15.5  4.7   26.3 
95    14    13    99.9  21.3  99.9  11.5  8.9   99.9 
100   12    12    11.3  0     0     6.1   0     0    
104   50    44    14.6  9     99.9  7.6   4.7   13.9 
113   3     14    99.9  0     0     14    0     0    
113   6     18    99.9  0     0     26.9  0     0    
115   3     9     16    0     0     2.7   0     0    
118   10    55    8     1     24    18    1     62   
118   14    37    16    3     52    27    1     62   
122   19    20    24.9  6.2   99.9  5.3   3.8   16.2 
128   58    63    6.3   4.4   9.3   5.4   3.9   6.3  
132   105   64    8.8   7.1   11.2  9.7   6.2   12.6 
137   46    12    99.9  13.1  99.9  7     4.9   9.8  
142   8     12    12.8  1.1   17.6  7.6   2     12.7 
149   12    12    21.9  13.1  99.9  11.4  7.5   99.9 
150   91    21    10.1  7     13.8  6     2.6   12.6 
153   16    39    12    4.1   13.3  5.6   2.4   9.5  
154   31    17    15    10.6  22.9  12.9  4.6   32.8 
156   100   284   86    72    91    80    75    84   
162   82    124   8.2   5.7   13.7  6.2   4.3   14   
170   20    39    8.4   3.9   28.3  7.4   3.9   12.3 
172   34    65    10.2  7.2   16.3  5     3.4   8.4  
