k n+ n- median+ lo+ hi+ median- lo- hi-
2     27    24    6.6   5.5   9     6.3   5.3   10.4 
7     147   109   2.6   1.6   3.7   1.4   1.3   1.6  
9     20    21    5.8   1.9   13    8.3   5.5   15.1 
12    11    27    1.4   0.7   4     2.6   1.4   2.8  
27    15    5     5.5   2.8   7.1   6.2   1.4   7.1  
27    8     14    3.5   1.5   5.9   3.3   2     9.1  
27    1     20    5.6   -99.9 99.9  1.4   1.4   2.8  
27    9     3     7.1   4.4   99.9  6.2   1.4   99.9 
37    33    43    4.11  1.41  7.59  1.81  1.41  4.47 
37    71    21    4.34  2.6   5.62  1.38  1.31  1.61 
38    19    10    9.1   5.6   12    5.9   3.2   12   
38    11    10    9.8   4     12    9.5   2.8   12   
45    20    30    5     2.1   22.7  2.2   0.5   8.6  
56    4     22    3.9   0     0     5     0     0    
56    NA    NA    3.4   0     0     10.5  0     0    
58    7     16    6.7   4.5   99.9  1.8   1     99.9 
66    NA    NA    8.6   0     0     2.8   0     0    
73    20    19    9     1     48    1     1     4    
73    12    11    20    0     0     1     0     0    
82    152   36    2.1   1.9   3.2   2     1.7   2.2  
95    10    27    24    5.8   42.3  2.9   1.7   4.1  
100   12    12    1.5   0     0     1.6   0     0    
104   50    44    5.5   2.7   10.8  1.4   1.3   2.7  
113   3     14    26.2  0     0     3.5   0     0    
113   6     18    26.2  0     0     4.2   0     0    
115   3     9     5.5   0     0     1.2   0     0    
122   19    20    6.3   2.1   11.1  1.4   1.3   4.1  
124   138   114   6.8   4     11.3  2.8   2.1   4    
124   48    50    7.1   3.6   11.3  2.6   1.4   5.4  
128   58    63    2     1.9   2.2   2     1.9   2.1  
132   105   64    2     1.9   2.1   1.9   1.7   2    
137   46    12    2.7   2.6   4     2.5   1.4   2.7  
142   8     12    6.5   1.1   12.8  1.3   0.6   2.5  
146   13    24    1.8   0     0     6     0     0    
149   12    12    6.9   5.2   11    5.1   3.5   6.8  
153   16    39    1.6   1.4   4.1   1.4   1.2   1.5  
154   31    17    5.6   4.1   8.3   6     4.1   11.5 
156   100   284   22.8  0     0     11    0     0    
162   82    124   11.9  6.1   18    6.1   5.9   8    
165   16    2     5.3   1.4   17.8  1.7   1.4   8.3  
166   12    30    5.5   1.3   8.2   1.7   1.4   4    
167   11    27    1.4   0.7   4     2.6   1.4   2.8  
169   20    18    11.7  6.9   16.5  5.2   4.5   5.8  
170   20    39    1.4   1.3   1.8   1.4   1.2   2.3  
170   25    25    1.4   0     0     1.5   0     0    
172   34    65    3.6   1.9   5.6   1.8   1.6   2    
